img_name,true_labels,true_class,predicted_class,predicted_labels
val_000006.jpg,201,grilled_cheese_sandwich,grilled_cheese_sandwich,201.0
val_000008.jpg,19,cannoli,cannoli,19.0
val_000013.jpg,0,macaron,macaron,0.0
val_000015.jpg,201,grilled_cheese_sandwich,grilled_cheese_sandwich,201.0
val_000019.jpg,29,apple_pie,apple_pie,29.0
val_000020.jpg,155,churro,churro,155.0
val_000025.jpg,172,chocolate_mousse,chocolate_mousse,172.0
val_000053.jpg,79,macaroni_and_cheese,macaroni_and_cheese,79.0
val_000063.jpg,30,risotto,risotto,30.0
val_000074.jpg,79,macaroni_and_cheese,macaroni_and_cheese,79.0
val_000078.jpg,0,macaron,macaron,0.0
val_000118.jpg,67,tempura,tempura,67.0
val_000122.jpg,168,eggs_benedict,eggs_benedict,168.0
val_000128.jpg,198,burrito,burrito,198.0
val_000130.jpg,86,pancake,pancake,86.0
val_000139.jpg,29,apple_pie,apple_pie,29.0
val_000141.jpg,88,onion_rings,onion_rings,88.0
val_000161.jpg,57,gnocchi,gnocchi,57.0
val_000162.jpg,29,apple_pie,apple_pie,29.0
val_000187.jpg,62,creme_brulee,creme_brulee,62.0
val_000197.jpg,0,macaron,macaron,0.0
val_000223.jpg,0,macaron,macaron,0.0
val_000226.jpg,62,creme_brulee,creme_brulee,62.0
val_000238.jpg,8,dumpling,dumpling,8.0
val_000239.jpg,67,tempura,tempura,67.0
val_000242.jpg,198,burrito,burrito,198.0
val_000244.jpg,155,churro,churro,155.0
val_000245.jpg,163,filet_mignon,filet_mignon,163.0
val_000249.jpg,30,risotto,risotto,30.0
val_000250.jpg,29,apple_pie,apple_pie,29.0
val_000259.jpg,155,churro,churro,155.0
val_000278.jpg,124,boiled_egg,boiled_egg,124.0
val_000282.jpg,76,edamame,edamame,76.0
val_000289.jpg,98,lasagna,lasagna,98.0
val_000322.jpg,156,donut,ice_cream,193.0
val_000336.jpg,168,eggs_benedict,eggs_benedict,168.0
val_000346.jpg,86,pancake,pancake,86.0
val_000350.jpg,168,eggs_benedict,eggs_benedict,168.0
val_000403.jpg,67,tempura,tempura,67.0
val_000413.jpg,29,apple_pie,apple_pie,29.0
val_000414.jpg,67,tempura,tempura,67.0
val_000417.jpg,75,linguine,linguine,75.0
val_000437.jpg,201,grilled_cheese_sandwich,grilled_cheese_sandwich,201.0
