img_name,label,category_name,prediction
train_012250.jpg,98,lasagna,lasagna
train_092559.jpg,198,burrito,burrito
train_019545.jpg,57,gnocchi,gnocchi
train_070801.jpg,75,linguine,linguine
train_092546.jpg,198,burrito,burrito
train_007521.jpg,88,onion_rings,onion_rings
train_099925.jpg,201,grilled_cheese_sandwich,grilled_cheese_sandwich
train_070730.jpg,75,linguine,linguine
train_072843.jpg,163,filet_mignon,filet_mignon
train_090034.jpg,19,cannoli,cannoli
train_010160.jpg,67,tempura,dumpling
train_007374.jpg,88,onion_rings,onion_rings
train_073006.jpg,163,filet_mignon,filet_mignon
train_022897.jpg,30,risotto,risotto
train_052444.jpg,168,eggs_benedict,dumpling
train_085872.jpg,8,dumpling,dumpling
train_019524.jpg,57,gnocchi,gnocchi
train_100197.jpg,201,grilled_cheese_sandwich,grilled_cheese_sandwich
train_092602.jpg,198,burrito,fried_rice
train_100093.jpg,201,grilled_cheese_sandwich,grilled_cheese_sandwich
train_007294.jpg,88,onion_rings,onion_rings
train_016755.jpg,156,donut,donut
train_041831.jpg,124,boiled_egg,boiled_egg
train_097794.jpg,29,apple_pie,apple_pie
train_092847.jpg,198,burrito,burrito
train_085735.jpg,8,dumpling,dumpling
train_059664.jpg,0,macaron,macaron
train_054557.jpg,155,churro,churro
train_017092.jpg,156,donut,donut
train_070587.jpg,75,linguine,linguine
train_097881.jpg,29,apple_pie,apple_pie
train_085432.jpg,8,dumpling,dumpling
train_059936.jpg,0,macaron,macaron
train_099881.jpg,201,grilled_cheese_sandwich,grilled_cheese_sandwich
train_070471.jpg,75,linguine,linguine
train_007137.jpg,88,onion_rings,onion_rings
train_078696.jpg,138,panna_cotta,panna_cotta
train_052140.jpg,168,eggs_benedict,eggs_benedict
train_016657.jpg,156,donut,cannoli
train_079123.jpg,138,panna_cotta,panna_cotta
train_085641.jpg,8,dumpling,dumpling
train_045157.jpg,76,edamame,edamame
train_042227.jpg,124,boiled_egg,panna_cotta
train_045247.jpg,76,edamame,gnocchi
train_070829.jpg,75,linguine,linguine
train_085305.jpg,8,dumpling,dumpling
train_097857.jpg,29,apple_pie,apple_pie
train_090163.jpg,19,cannoli,cannoli
train_031003.jpg,62,creme_brulee,creme_brulee
train_027478.jpg,172,chocolate_mousse,chocolate_mousse
train_072861.jpg,163,filet_mignon,filet_mignon
train_073201.jpg,163,filet_mignon,filet_mignon
train_054112.jpg,155,churro,churro
train_101612.jpg,123,fried_rice,fried_rice
train_041786.jpg,124,boiled_egg,boiled_egg
train_054593.jpg,155,churro,churro
train_101277.jpg,123,fried_rice,fried_rice
train_031154.jpg,62,creme_brulee,creme_brulee
train_024744.jpg,79,macaroni_and_cheese,macaroni_and_cheese
train_019294.jpg,57,gnocchi,gnocchi
train_024996.jpg,79,macaroni_and_cheese,macaroni_and_cheese
train_059437.jpg,0,macaron,unknown
train_027183.jpg,172,chocolate_mousse,chocolate_mousse
train_090381.jpg,19,cannoli,churro
train_012075.jpg,98,lasagna,lasagna
train_085382.jpg,8,dumpling,dumpling
train_027557.jpg,172,chocolate_mousse,chocolate_mousse
train_010476.jpg,67,tempura,pancake
train_101269.jpg,123,fried_rice,dumpling
train_085437.jpg,8,dumpling,dumpling
train_025191.jpg,79,macaroni_and_cheese,macaroni_and_cheese
train_019485.jpg,57,gnocchi,gnocchi
train_085453.jpg,8,dumpling,dumpling
train_054054.jpg,155,churro,donut
train_053994.jpg,155,churro,chocolate_mousse
train_070740.jpg,75,linguine,linguine
train_027220.jpg,172,chocolate_mousse,chocolate_mousse
train_089972.jpg,19,cannoli,macaron
train_010310.jpg,67,tempura,tempura
train_045200.jpg,76,edamame,edamame
train_054559.jpg,155,churro,churro
train_010492.jpg,67,tempura,gnocchi
train_031019.jpg,62,creme_brulee,creme_brulee
train_072856.jpg,163,filet_mignon,filet_mignon
train_054129.jpg,155,churro,chocolate_mousse
train_070625.jpg,75,linguine,linguine
train_052486.jpg,168,eggs_benedict,eggs_benedict
train_010200.jpg,67,tempura,tempura
train_027605.jpg,172,chocolate_mousse,chocolate_mousse
train_016847.jpg,156,donut,donut
train_059817.jpg,0,macaron,macaron
train_003958.jpg,86,pancake,pancake
train_027227.jpg,172,chocolate_mousse,chocolate_mousse
train_010502.jpg,67,tempura,tempura
train_019410.jpg,57,gnocchi,gnocchi
train_085370.jpg,8,dumpling,dumpling
train_024981.jpg,79,macaroni_and_cheese,macaroni_and_cheese
train_031002.jpg,62,creme_brulee,creme_brulee
train_059522.jpg,0,macaron,macaron
train_100145.jpg,201,grilled_cheese_sandwich,grilled_cheese_sandwich
